Sl.no,Date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
444,01-10-2023,Arunachal Pradesh,2-Wheelers,0,1281
445,01-10-2023,Ladakh,2-Wheelers,0,33
446,01-10-2023,Ladakh,4-Wheelers,0,187
447,01-10-2023,Mizoram,4-Wheelers,0,453
448,01-10-2023,Nagaland,2-Wheelers,0,471
449,01-10-2023,Nagaland,4-Wheelers,0,743
450,01-11-2023,Arunachal Pradesh,2-Wheelers,0,1458
451,01-11-2023,Ladakh,2-Wheelers,0,39
452,01-11-2023,Ladakh,4-Wheelers,0,166
453,01-11-2023,Mizoram,4-Wheelers,0,531
454,01-12-2023,Ladakh,2-Wheelers,0,7
455,01-12-2023,Ladakh,4-Wheelers,0,144
456,01-12-2023,Mizoram,4-Wheelers,0,568
457,01-12-2023,Nagaland,2-Wheelers,0,421
458,01-12-2023,Nagaland,4-Wheelers,0,562
459,01-01-2024,Arunachal Pradesh,2-Wheelers,0,995
460,01-01-2024,Nagaland,2-Wheelers,0,505
461,01-01-2024,Ladakh,4-Wheelers,0,141
462,01-01-2024,Andaman & Nicobar,4-Wheelers,0,177
463,01-01-2024,Nagaland,4-Wheelers,0,877
464,01-02-2024,Arunachal Pradesh,2-Wheelers,0,1117
465,01-02-2024,Nagaland,2-Wheelers,0,763
466,01-02-2024,Ladakh,2-Wheelers,0,4
467,01-02-2024,Mizoram,4-Wheelers,0,494
468,01-02-2024,Ladakh,4-Wheelers,0,47
469,01-03-2024,Arunachal Pradesh,2-Wheelers,0,1259
470,01-03-2024,Ladakh,2-Wheelers,0,11
471,01-03-2024,Mizoram,4-Wheelers,0,463
472,01-03-2024,Nagaland,4-Wheelers,0,1336
473,01-03-2024,Ladakh,4-Wheelers,0,81
474,01-04-2021,DNH and DD,2-Wheelers,1,657
475,01-04-2021,Himachal Pradesh,4-Wheelers,1,3544
476,01-04-2021,Meghalaya,4-Wheelers,1,930
477,01-05-2021,Chandigarh,4-Wheelers,1,413
478,01-05-2021,Haryana,4-Wheelers,1,4373
479,01-05-2021,Himachal Pradesh,4-Wheelers,1,1503
480,01-05-2021,Jharkhand,4-Wheelers,1,2290
