Sl.No,Date,vehicle_category,maker,electric_vehicles_sold
44,01-08-2021,4-Wheelers,PCA Automobiles,0
45,01-08-2021,4-Wheelers,BMW India,0
46,01-08-2021,4-Wheelers,Volvo Auto India,0
47,01-08-2021,4-Wheelers,KIA Motors,0
48,01-08-2022,4-Wheelers,PCA Automobiles,0
49,01-08-2022,4-Wheelers,Volvo Auto India,0
50,01-08-2022,4-Wheelers,KIA Motors,0
51,01-09-2021,4-Wheelers,BYD India,0
52,01-09-2021,4-Wheelers,PCA Automobiles,0
53,01-09-2021,4-Wheelers,BMW India,0
54,01-09-2021,4-Wheelers,Volvo Auto India,0
55,01-09-2021,4-Wheelers,KIA Motors,0
56,01-09-2022,4-Wheelers,PCA Automobiles,0
57,01-09-2022,4-Wheelers,Volvo Auto India,0
58,01-09-2022,4-Wheelers,KIA Motors,0
59,01-10-2021,4-Wheelers,BYD India,0
60,01-10-2021,4-Wheelers,PCA Automobiles,0
61,01-10-2021,4-Wheelers,BMW India,0
62,01-10-2021,4-Wheelers,Volvo Auto India,0
63,01-10-2021,4-Wheelers,KIA Motors,0
64,01-10-2022,4-Wheelers,PCA Automobiles,0
65,01-10-2022,4-Wheelers,Volvo Auto India,0
66,01-11-2021,4-Wheelers,BYD India,0
67,01-11-2021,4-Wheelers,PCA Automobiles,0
68,01-11-2021,4-Wheelers,BMW India,0
69,01-11-2021,4-Wheelers,Volvo Auto India,0
70,01-11-2021,4-Wheelers,KIA Motors,0
71,01-11-2022,4-Wheelers,PCA Automobiles,0
72,01-12-2021,4-Wheelers,PCA Automobiles,0
73,01-12-2021,4-Wheelers,BMW India,0
74,01-12-2021,4-Wheelers,Volvo Auto India,0
75,01-12-2021,4-Wheelers,KIA Motors,0
76,01-12-2022,4-Wheelers,PCA Automobiles,0
77,01-01-2022,4-Wheelers,PCA Automobiles,0
78,01-01-2022,4-Wheelers,BMW India,0
79,01-01-2022,4-Wheelers,Volvo Auto India,0
80,01-01-2022,4-Wheelers,KIA Motors,0
81,01-01-2023,4-Wheelers,PCA Automobiles,0
82,01-02-2022,4-Wheelers,PCA Automobiles,0
83,01-02-2022,4-Wheelers,BMW India,0
84,01-02-2022,4-Wheelers,Volvo Auto India,0
85,01-02-2022,4-Wheelers,KIA Motors,0
86,01-02-2023,4-Wheelers,PCA Automobiles,0
87,01-03-2022,4-Wheelers,PCA Automobiles,0
88,01-03-2022,4-Wheelers,KIA Motors,0
